genre,response,file.name,title,author,language,download.count
adventure,FAILURE,21539.txt,"the blue envelope","snell, roy j. (roy judson), 1878-1959",en,14
adventure,FAILURE,23725.txt,"viking boys","saxby, jessie margaret edmondston, 1842-1940",en,8
adventure,FAILURE,24996.txt,"the tapu of banderah 1901","becke, louis, 1855-1913",en,7
adventure,FAILURE,9649.txt,"with trapper jim in the north woods","leslie, lawrence j.",en,14
adventure,SUCCESS,10743.txt,"moonfleet","falkner, john meade, 1858-1932",en,270
adventure,SUCCESS,11866.txt,"the life and most surprising adventures of robinson crusoe, of york, mariner (1801)","defoe, daniel, 1661?-1731",en,108
adventure,SUCCESS,12623.txt,"the life and adventures of robinson crusoe (1808)","defoe, daniel, 1661?-1731",en,189
adventure,SUCCESS,12986.txt,"the card, a story of adventure in the five towns","bennett, arnold, 1867-1931",en,221
adventure,SUCCESS,1752.txt,"el dorado, an adventure of the scarlet pimpernel","orczy, baroness emmuska, 1865-1947",en,230
adventure,SUCCESS,19640.txt,"adventures of huckleberry finn","twain, mark, 1835-1910",en,1092
adventure,SUCCESS,19714.txt,"with frederick the great a story of the seven years' war","henty, g. a. (george alfred), 1832-1902",en,103
adventure,SUCCESS,2785.txt,"the elusive pimpernel","orczy, baroness emmuska, 1865-1947",en,210
adventure,SUCCESS,546.txt,"under the andes","stout, rex, 1886-1975",en,147
adventure,SUCCESS,7100.txt,"adventures of huckleberry finn, chapters 01 to 05","twain, mark, 1835-1910",en,746
adventure,FAILURE,12611.txt,"the regent","bennett, arnold, 1867-1931",en,17
adventure,FAILURE,15773.txt,"round the world in seven days","strang, herbert",en,17
adventure,FAILURE,20131.txt,"the mask a story of love and adventure","hornblow, arthur, 1865-1942",en,15
adventure,FAILURE,21313.txt,"in honour's cause a tale of the days of george the first","fenn, george manville, 1831-1909",en,11
adventure,FAILURE,21314.txt,"king o' the beach a tropic tale","fenn, george manville, 1831-1909",en,10
adventure,FAILURE,21795.txt,"fred fearnot's new ranch and how he and terry managed it","shackleford, h. k. (harvey king), 1841-1906",en,6
adventure,FAILURE,24297.txt,"the river of darkness, or, under africa","graydon, william murray, 1864-1946",en,12
adventure,FAILURE,24299.txt,"the cryptogram a story of northwest canada","graydon, william murray, 1864-1946",en,13
adventure,FAILURE,25079.txt,"queensland cousins","haverfield, eleanor luisa, 1870-",en,13
adventure,FAILURE,9873.txt,"till the clock stops","bell, j. j. (john joy), 1871-1934",en,11
adventure,SUCCESS,1083.txt,"the arrow of gold a story between two notes","conrad, joseph, 1857-1924",en,104
adventure,SUCCESS,1142.txt,"typhoon","conrad, joseph, 1857-1924",en,320
adventure,SUCCESS,13720.txt,"mardi: and a voyage thither, vol. i","melville, herman, 1819-1891",en,130
adventure,SUCCESS,13721.txt,"mardi: and a voyage thither, vol. ii","melville, herman, 1819-1891",en,169
adventure,SUCCESS,1376.txt,"the little white bird; or, adventures in kensington gardens","barrie, j. m. (james matthew), 1860-1937",en,284
adventure,SUCCESS,19678.txt,"call of the wild","london, jack, 1876-1916",en,503
adventure,SUCCESS,21338.txt,"the vnfortunate traveller, or the life of jack wilton with an essay on the life and writings of thomas nash by edmund gosse","nash, thomas, 1567-1601",en,257
adventure,SUCCESS,215.txt,"the call of the wild","london, jack, 1876-1916",en,3433
adventure,SUCCESS,2226.txt,"kim","kipling, rudyard, 1865-1936",en,1203
adventure,SUCCESS,2275.txt,"the pioneers","cooper, james fenimore, 1789-1851",en,262
adventure,FAILURE,10988.txt,"the devil's admiral","moore, frederick ferdinand, 1877-",en,9
adventure,FAILURE,11909.txt,"bob the castaway or, the wreck of the eagle","webster, frank v.",en,12
adventure,FAILURE,12405.txt,"frank, the young naturalist","castlemon, harry, 1842-1915",en,14
adventure,FAILURE,13946.txt,"camp and trail a story of the maine woods","hornibrook, isabel, 1859-1952",en,17
adventure,FAILURE,14361.txt,"carmen's messenger","bindloss, harold, 1866-1945",en,13
adventure,FAILURE,16604.txt,"poison island","quiller-couch, arthur thomas, sir, 1863-1944",en,13
adventure,FAILURE,20261.txt,"the adventures of harry revel","quiller-couch, arthur thomas, sir, 1863-1944",en,13
adventure,FAILURE,22086.txt,"the son of monte-cristo, volume ii","lermina, jules, 1839-1915",en,17
adventure,FAILURE,25144.txt,"a voyage with captain dynamite","rich, charles edward",en,11
adventure,FAILURE,9927.txt,"the bronze bell","vance, louis joseph, 1879-1933",en,13
adventure,SUCCESS,1184.txt,"the count of monte cristo","dumas, alexandre, 1802-1870",en,6562
adventure,SUCCESS,12556.txt,"a master of fortune being further adventures of captain kettle","hyne, charles john cutcliffe wright, 1866-1944",en,304
adventure,SUCCESS,18883.txt,"the four feathers","mason, a. e. w. (alfred edward woodley), 1865-1948",en,161
adventure,SUCCESS,18997.txt,"the vicomte de bragelonne or ten years later being the completion of the three musketeers and twenty years after","dumas, alexandre, 1802-1870",en,104
adventure,SUCCESS,21513.txt,"life and adventures of peter wilkins, vol. i. (of ii.)","paltock, robert, 1697-1767",en,110
adventure,SUCCESS,2360.txt,"the riddle of the sands","childers, erskine, 1870-1922",en,860
adventure,SUCCESS,23765.txt,"captain boldheart & the latin-grammar master a holiday romance from the pen of lieut-col. robin redforth, aged 9","dickens, charles, 1812-1870",en,134
adventure,SUCCESS,794.txt,"the wouldbegoods","nesbit, e. (edith), 1858-1924",en,106
adventure,SUCCESS,966.txt,"maid marian","peacock, thomas love, 1785-1866",en,100
adventure,SUCCESS,968.txt,"martin chuzzlewit","dickens, charles, 1812-1870",en,534
adventure,FAILURE,11997.txt,"crusoes of the frozen north","stables, gordon, 1840-1910",en,17
adventure,FAILURE,14882.txt,"bobby of the labrador","wallace, dillon, 1863-1939",en,6
adventure,FAILURE,15546.txt,"the last of the peterkins with others of their kin","hale, lucretia p. (lucretia peabody), 1820-1900",en,12
adventure,FAILURE,17131.txt,"the colonel of the red huzzars","scott, john reed, 1869-",en,10
adventure,FAILURE,20618.txt,"the boy land boomer or, dick arbuckle's adventures in oklahoma","stratemeyer, edward, 1862-1930",en,12
adventure,FAILURE,20870.txt,"the motor girls through new england or, held by the gypsies","penrose, margaret",en,14
adventure,FAILURE,22424.txt,"frank merriwell down south","standish, burt l., 1866-1945",en,13
adventure,FAILURE,24306.txt,"the flaming jewel","chambers, robert w. (robert william), 1865-1933",en,11
adventure,FAILURE,25316.txt,"frank merriwell's son a chip off the old block","standish, burt l., 1866-1945",en,11
adventure,FAILURE,9968.txt,"the young woodsman or, life in the forests of canada","oxley, j. macdonald (james macdonald), 1855-1907",en,4
mystery,SUCCESS,10067.txt,"the mystery of the boule cabinet a detective story","stevenson, burton egbert, 1872-1962",en,93
mystery,SUCCESS,11128.txt,"the red thumb mark","freeman, r. austin (richard austin), 1862-1943",en,190
mystery,SUCCESS,12187.txt,"the mystery of 31 new inn","freeman, r. austin (richard austin), 1862-1943",en,211
mystery,SUCCESS,13372.txt,"the gloved hand","stevenson, burton egbert, 1872-1962",en,133
mystery,SUCCESS,1695.txt,"the man who was thursday, a nightmare","chesterton, g. k. (gilbert keith), 1874-1936",en,1220
mystery,SUCCESS,1718.txt,"manalive","chesterton, g. k. (gilbert keith), 1874-1936",en,184
mystery,SUCCESS,20912.txt,"the daffodil mystery","wallace, edgar, 1875-1932",en,328
mystery,SUCCESS,21530.txt,"the angel of terror","wallace, edgar, 1875-1932",en,343
mystery,SUCCESS,3180.txt,"a double barrelled detective story","twain, mark, 1835-1910",en,311
mystery,SUCCESS,3181.txt,"the stolen white elephant","twain, mark, 1835-1910",en,228
mystery,FAILURE,10029.txt,"the hunt ball mystery","magnay, william, sir, 1855-1917",en,24
mystery,FAILURE,12195.txt,"the mystery of metropolisville","eggleston, edward, 1837-1902",en,17
mystery,FAILURE,14369.txt,"the young engineers on the gulf or, the dread mystery of the million dollar breakwater","hancock, h. irving (harrie irving), 1868-1922",en,17
mystery,FAILURE,18671.txt,"never-fail blake","stringer, arthur, 1874-1950",en,24
mystery,FAILURE,20152.txt,"the winning clue","hay, james, 1881-1936",en,15
mystery,FAILURE,24945.txt,"mufti","mcneile, h. c. (herman cyril), 1888-1937",en,23
mystery,FAILURE,25873.txt,"the motor girls on crystal bay or, the secret of the red oar","penrose, margaret",en,22
mystery,FAILURE,2789.txt,"the motor girls on a tour","penrose, margaret",en,17
mystery,FAILURE,28504.txt,"the rival campers ashore the mystery of the mill","smith, ruel perley, 1869-1937",en,7
mystery,FAILURE,9300.txt,"jennie baxter, journalist","barr, robert, 1850-1912",en,25
mystery,SUCCESS,108.txt,"the return of sherlock holmes","doyle, arthur conan, sir, 1859-1930",en,5293
mystery,SUCCESS,11451.txt,"the rome express","griffiths, arthur, 1838-1908",en,368
mystery,SUCCESS,16339.txt,"the passenger from calais","griffiths, arthur, 1838-1908",en,165
mystery,SUCCESS,19069.txt,"the silent house","hume, fergus, 1859-1932",en,94
mystery,SUCCESS,2014.txt,"the lodger","lowndes, marie belloc, 1868-1947",en,176
mystery,SUCCESS,2097.txt,"the sign of the four","doyle, arthur conan, sir, 1859-1930",en,2529
mystery,SUCCESS,3802.txt,"the widow lerouge","gaboriau, emile, 1832-1873",en,120
mystery,SUCCESS,4071.txt,"monsieur lecoq","gaboriau, emile, 1832-1873",en,119
mystery,SUCCESS,564.txt,"the mystery of edwin drood","dickens, charles, 1812-1870",en,643
mystery,SUCCESS,5660.txt,"mary louise","baum, l. frank (lyman frank), 1856-1919",en,92
mystery,FAILURE,10537.txt,"the governors","oppenheim, e. phillips (edward phillips), 1866-1946",en,22
mystery,FAILURE,10575.txt,"the profiteers","oppenheim, e. phillips (edward phillips), 1866-1946",en,14
mystery,FAILURE,14623.txt,"six little bunkers at grandma bell's","hope, laura lee",en,16
mystery,FAILURE,18965.txt,"the substitute prisoner","marcin, max, 1879-1948",en,13
mystery,FAILURE,22212.txt,"the paternoster ruby","walk, charles edmonds, 1875-",en,22
mystery,FAILURE,25695.txt,"the diamond coterie","lynch, lawrence l.",en,18
mystery,FAILURE,25847.txt,"patty's friends","wells, carolyn, 1862-1942",en,18
mystery,FAILURE,25875.txt,"the woman from outside [on swan river]","footner, hulbert, 1879-1944",en,20
mystery,FAILURE,2883.txt,"the gold bag","wells, carolyn, 1862-1942",en,22
mystery,FAILURE,9635.txt,"the end of her honeymoon","lowndes, marie belloc, 1868-1947",en,12
mystery,SUCCESS,10373.txt,"the middle temple murder","fletcher, j. s. (joseph smith), 1863-1935",en,283
mystery,SUCCESS,1155.txt,"secret adversary","christie, agatha, 1890-1976",en,4971
mystery,SUCCESS,1167.txt,"a strange disappearance","green, anna katharine, 1846-1935",en,226
mystery,SUCCESS,12239.txt,"dead men's money","fletcher, j. s. (joseph smith), 1863-1935",en,222
mystery,SUCCESS,155.txt,"the moonstone","collins, wilkie, 1824-1889",en,1650
mystery,SUCCESS,1622.txt,"the law and the lady","collins, wilkie, 1824-1889",en,110
mystery,SUCCESS,172.txt,"the haunted bookshop","morley, christopher, 1890-1957",en,293
mystery,SUCCESS,17763.txt,"the mystery of the hasty arrow","green, anna katharine, 1846-1935",en,180
mystery,SUCCESS,6864.txt,"average jones","adams, samuel hopkins, 1871-1958",en,91
mystery,SUCCESS,863.txt,"the mysterious affair at styles","christie, agatha, 1890-1976",en,4941
mystery,FAILURE,12678.txt,"the house of mystery an episode in the career of rosalie le grange, clairvoyant","irwin, will, 1873-1948",en,24
mystery,FAILURE,13880.txt,"triple spies","snell, roy j. (roy judson), 1878-1959",en,13
mystery,FAILURE,19335.txt,"oscar the detective or, dudie dunne, the exquisite detective","halsey, harlan page, 1839?-1898",en,22
mystery,FAILURE,22820.txt,"the crooked house","fleming, brandon",en,14
mystery,FAILURE,25787.txt,"on the edge of the arctic or, an aeroplane in snowland","sayler, h. l. (harry lincoln), 1863-",en,13
mystery,FAILURE,26155.txt,"two wonderful detectives jack and gil's marvelous skill","halsey, harlan page, 1839?-1898",en,20
mystery,FAILURE,26372.txt,"panther eye","snell, roy j. (roy judson), 1878-1959",en,10
mystery,FAILURE,27097.txt,"the boy ranchers in death valley or diamond x and the poison mystery","baker, willard f.",en,24
mystery,FAILURE,431.txt,"the fortune hunter","phillips, david graham, 1867-1911",en,18
mystery,FAILURE,9808.txt,"the loudwater mystery","jepson, edgar, 1863-1938",en,14
mystery,SUCCESS,1076.txt,"the wallet of kai lung","bramah, ernest, 1869?-1942",en,99
mystery,SUCCESS,1159.txt,"fire-tongue","rohmer, sax, 1883-1959",en,104
mystery,SUCCESS,1182.txt,"dope","rohmer, sax, 1883-1959",en,146
mystery,SUCCESS,12509.txt,"the moon rock","rees, arthur j. (arthur john), 1872-1942",en,100
mystery,SUCCESS,13058.txt,"the teeth of the tiger","leblanc, maurice, 1864-1941",en,141
mystery,SUCCESS,14332.txt,"cleek: the man of the forty faces","hanshew, thomas w., 1857-1914",en,123
mystery,SUCCESS,1563.txt,"the crystal stopper","leblanc, maurice, 1864-1941",en,189
mystery,SUCCESS,20494.txt,"the shrieking pit","rees, arthur j. (arthur john), 1872-1942",en,103
mystery,SUCCESS,2568.txt,"trent's last case","bentley, e. c. (edmund clerihew), 1875-1956",en,305
mystery,SUCCESS,4715.txt,"an african millionaire episodes in the life of the illustrious colonel clay","allen, grant, 1848-1899",en,244
mystery,FAILURE,10584.txt,"air service boys over the atlantic or, the longest flight on record","beach, charles amory",en,9
mystery,FAILURE,14096.txt,"with links of steel or, the peril of the unknown","carter, nicholas",en,23
mystery,FAILURE,15695.txt,"'doc.' gordon","freeman, mary eleanor wilkins, 1852-1930",en,17
mystery,FAILURE,15965.txt,"in friendship's guise","graydon, william murray, 1864-1946",en,11
mystery,FAILURE,24033.txt,"dave porter in the gold fields or, the search for the landslide mine","stratemeyer, edward, 1862-1930",en,18
mystery,FAILURE,2691.txt,"nan sherwood at pine camp or, the old lumberman's secret","carr, annie roe",en,21
mystery,FAILURE,26925.txt,"the bradys beyond their depth the great swamp mystery","doughty, francis worcester, 1850-1917",en,16
mystery,FAILURE,4660.txt,"timothy crump's ward a story of american life","alger, horatio, 1832-1899",en,23
mystery,FAILURE,5002.txt,"the rover boys in business or, the search for the missing bonds","stratemeyer, edward, 1862-1930",en,20
mystery,FAILURE,9853.txt,"the mystery of the four fingers","white, fred m. (fred merrick), 1859-",en,20
mystery,SUCCESS,11127.txt,"the case of jennie brice","rinehart, mary roberts, 1876-1958",en,92
mystery,SUCCESS,1601.txt,"the breaking point","rinehart, mary roberts, 1876-1958",en,130
mystery,SUCCESS,1686.txt,"the secret of the night","leroux, gaston, 1868-1927",en,164
mystery,SUCCESS,1703.txt,"dead men tell no tales","hornung, e. w. (ernest william), 1866-1921",en,274
mystery,SUCCESS,17866.txt,"murder in the gunroom","piper, h. beam, 1904-1964",en,297
mystery,SUCCESS,1814.txt,"the agony column","biggers, earl derr, 1884-1933",en,97
mystery,SUCCESS,1872.txt,"the red house mystery","milne, a. a. (alan alexander), 1882-1956",en,723
mystery,SUCCESS,20559.txt,"r. holmes & co. being the remarkable adventures of raffles holmes, esq., detective and amateur cracksman by birth","bangs, john kendrick, 1862-1922",en,121
mystery,SUCCESS,546.txt,"under the andes","stout, rex, 1886-1975",en,147
mystery,SUCCESS,9746.txt,"the ashiel mystery: a detective story","bryce, charles, mrs.",en,167
mystery,FAILURE,11085.txt,"m. or n. similia similibus curantur.","whyte-melville, g. j. (george john), 1821-1878",en,17
mystery,FAILURE,14167.txt,"the red redmaynes","phillpotts, eden, 1862-1960",en,20
mystery,FAILURE,17762.txt,"the burglar's fate and the detectives","pinkerton, allan, 1819-1884",en,21
mystery,FAILURE,19523.txt,"a husband by proxy","steele, jack",en,16
mystery,FAILURE,19901.txt,"the castle of the shadows","williamson, a. m. (alice muriel), 1869-1933",en,25
mystery,FAILURE,24102.txt,"owen clancy's happy trail or, the motor wizard in california","standish, burt l., 1866-1945",en,23
mystery,FAILURE,25849.txt,"the launch boys' adventures in northern waters","ellis, edward sylvester, 1840-1916",en,11
mystery,FAILURE,26657.txt,"the motor pirate","paternoster, g. sidney, 1866-",en,10
mystery,FAILURE,27890.txt,"the merriweather girls in quest of treasure","edholm, lizette m.",en,12
mystery,FAILURE,9974.txt,"the yellow streak","williams, valentine, 1883-1946",en,23
fiction,SUCCESS,1027.txt,"the lone star ranger, a romance of the border","grey, zane, 1872-1939",en,333
fiction,SUCCESS,1095.txt,"light of the western stars","grey, zane, 1872-1939",en,183
fiction,SUCCESS,165.txt,"mcteague","norris, frank, 1870-1902",en,245
fiction,SUCCESS,1897.txt,"the seventh man","brand, max, 1892-1944",en,140
fiction,SUCCESS,243.txt,"the forged coupon","tolstoy, leo, graf, 1828-1910",en,237
fiction,SUCCESS,331.txt,"the mucker","burroughs, edgar rice, 1875-1950",en,146
fiction,SUCCESS,363.txt,"the oakdale affair","burroughs, edgar rice, 1875-1950",en,132
fiction,SUCCESS,5240.txt,"the confessions of harry lorrequer � complete","lever, charles james, 1806-1872",en,166
fiction,SUCCESS,525.txt,"youth, a narrative","conrad, joseph, 1857-1924",en,237
fiction,SUCCESS,689.txt,"the kreutzer sonata and other stories","tolstoy, leo, graf, 1828-1910",en,560
fiction,FAILURE,11005.txt,"o+f","wetterau, john moncure",en,2
fiction,FAILURE,13238.txt,"six women","cross, victoria, 1868-1952",en,7
fiction,FAILURE,15181.txt,"my mother's rival everyday life library no. 4","brame, charlotte m., 1836-1884",en,7
fiction,FAILURE,15182.txt,"marion arleigh's penance everyday life library no. 5","brame, charlotte m., 1836-1884",en,5
fiction,FAILURE,15793.txt,"an unpardonable liar","parker, gilbert, 1862-1932",en,4
fiction,FAILURE,1762.txt,"the consul","davis, richard harding, 1864-1916",en,6
fiction,FAILURE,1819.txt,"the messengers","davis, richard harding, 1864-1916",en,7
fiction,FAILURE,20615.txt,"the master-knot of human fate","meredith, ellis, 1865-",en,3
fiction,FAILURE,22961.txt,"nell, of shorne mills or, one heart's burden","garvice, charles, -1920",en,7
fiction,FAILURE,5236.txt,"the confessions of harry lorrequer � volume 3","lever, charles james, 1806-1872",en,2
fiction,SUCCESS,1032.txt,"the pupil","james, henry, 1843-1916",en,125
fiction,SUCCESS,1093.txt,"the beast in the jungle","james, henry, 1843-1916",en,711
fiction,SUCCESS,1156.txt,"babbitt","lewis, sinclair, 1885-1951",en,482
fiction,SUCCESS,1253.txt,"a simple soul","flaubert, gustave, 1821-1880",en,656
fiction,SUCCESS,1290.txt,"salammbo","flaubert, gustave, 1821-1880",en,208
fiction,SUCCESS,17047.txt,"the half-hearted","buchan, john, 1875-1940",en,252
fiction,SUCCESS,2028.txt,"the yellow claw","rohmer, sax, 1883-1959",en,164
fiction,SUCCESS,24920.txt,"the book of all-power","wallace, edgar, 1875-1932",en,345
fiction,SUCCESS,39293.txt,"the gentlemen's book of etiquette and manual of politeness being a complete guide for a gentleman's conduct in all his relations towards society","hartley, cecil b.",en,152
fiction,SUCCESS,543.txt,"main street","lewis, sinclair, 1885-1951",en,473
fiction,FAILURE,13261.txt,"jason a romance","forman, justus miles, 1875-1915",en,7
fiction,FAILURE,15103.txt,"the imaginary marriage","cooper, henry st. john, 1908-1973",en,5
fiction,FAILURE,15244.txt,"lewie or, the bended twig","bradford, sarah h. (sarah hopkins), 1818-",en,5
fiction,FAILURE,16137.txt,"the hoyden","duchess, 1855?-1897",en,6
fiction,FAILURE,16836.txt,"mark hurdlestone or, the two brothers","moodie, susanna, 1803-1885",en,3
fiction,FAILURE,18280.txt,"enter bridget","cobb, thomas, 1854-1932",en,6
fiction,FAILURE,20835.txt,"the monctons: a novel, volume i","moodie, susanna, 1803-1885",en,3
fiction,FAILURE,23010.txt,"gulmore, the boss","harris, frank, 1856-1931",en,6
fiction,FAILURE,23012.txt,"elder conklin","harris, frank, 1856-1931",en,7
fiction,FAILURE,726.txt,"a psychological counter-current in recent fiction","howells, william dean, 1837-1920",en,7
fiction,SUCCESS,1074.txt,"the sea wolf","london, jack, 1876-1916",en,655
fiction,SUCCESS,1162.txt,"the jacket (star-rover)","london, jack, 1876-1916",en,212
fiction,SUCCESS,1595.txt,"whirligigs","henry, o., 1862-1910",en,177
fiction,SUCCESS,1601.txt,"the breaking point","rinehart, mary roberts, 1876-1958",en,130
fiction,SUCCESS,1646.txt,"roads of destiny","henry, o., 1862-1910",en,159
fiction,SUCCESS,21767.txt,"agatha's husband a novel","craik, dinah maria mulock, 1826-1887",en,132
fiction,SUCCESS,2675.txt,"burlesques","thackeray, william makepeace, 1811-1863",en,128
fiction,SUCCESS,343.txt,"fables","stevenson, robert louis, 1850-1894",en,137
fiction,SUCCESS,434.txt,"the circular staircase","rinehart, mary roberts, 1876-1958",en,281
fiction,SUCCESS,546.txt,"under the andes","stout, rex, 1886-1975",en,147
fiction,FAILURE,12181.txt,"the story of bessie costrell","ward, humphry, mrs., 1851-1920",en,7
fiction,FAILURE,12935.txt,"the song of the blood-red flower","linnankoski, johannes, 1869-1913",en,6
fiction,FAILURE,1367.txt,"findelkind","ouida, 1839-1908",en,6
fiction,FAILURE,15123.txt,"david lockwin�the people's idol","mcgovern, john, 1850-1917",en,4
fiction,FAILURE,15315.txt,"gladys, the reaper","beale, anne",en,7
fiction,FAILURE,16398.txt,"what necessity knows","dougall, l. (lily), 1858-1923",en,7
fiction,FAILURE,16993.txt,"miss dexie a romance of the provinces","eveleth, stanford",en,7
fiction,FAILURE,19173.txt,"the cow puncher","stead, robert j. c., 1880-1959",en,5
fiction,FAILURE,21690.txt,"flint his faults, his friendships and his fortunes","goodwin, maud wilder, 1856-1935",en,7
fiction,FAILURE,9087.txt,"eleanor","ward, humphry, mrs., 1851-1920",en,6
fiction,SUCCESS,1204.txt,"cabin fever","bower, b. m., 1874-1940",en,140
fiction,SUCCESS,13541.txt,"the collected works of ambrose bierce, volume 1","bierce, ambrose, 1842-1914?",en,322
fiction,SUCCESS,14420.txt,"the exemplary novels of cervantes","cervantes saavedra, miguel de, 1547-1616",en,472
fiction,SUCCESS,1743.txt,"twelve stories and a dream","wells, h. g. (herbert george), 1866-1946",en,266
fiction,SUCCESS,222.txt,"moon and sixpence","maugham, w. somerset (william somerset), 1874-1965",en,604
fiction,SUCCESS,2684.txt,"five tales","galsworthy, john, 1867-1933",en,200
fiction,SUCCESS,325.txt,"phantastes, a faerie romance for men and women","macdonald, george, 1824-1905",en,312
fiction,SUCCESS,346.txt,"the troll garden and selected stories","cather, willa, 1873-1947",en,135
fiction,SUCCESS,351.txt,"of human bondage","maugham, w. somerset (william somerset), 1874-1965",en,845
fiction,SUCCESS,524.txt,"ann veronica, a modern love story","wells, h. g. (herbert george), 1866-1946",en,267
fiction,FAILURE,12972.txt,"people like that a novel","bosher, kate langley, 1865-1932",en,7
fiction,FAILURE,14425.txt,"mona or, the secret of a royal mirror","sheldon, georgie, mrs., 1843-1926",en,4
fiction,FAILURE,15179.txt,"the inner sisterhood a social study in high colors","sherley, douglass, 1857-1917",en,4
fiction,FAILURE,15382.txt,"jess of the rebel trail","cody, h. a. (hiram alfred), 1872-1948",en,7
fiction,FAILURE,16803.txt,"lydia of the pines","morrow, honor�, 1880-1940",en,7
fiction,FAILURE,20462.txt,"ernest linwood or, the inner life of the author","hentz, caroline lee, 1800-1856",en,7
fiction,FAILURE,22205.txt,"in direst peril","murray, david christie, 1847-1907",en,6
fiction,FAILURE,22206.txt,"an old meerschaum from coals of fire and other stories, volume ii. (of iii.)","murray, david christie, 1847-1907",en,7
fiction,FAILURE,23106.txt,"helen and arthur or, miss thusa's spinning wheel","hentz, caroline lee, 1800-1856",en,7
fiction,FAILURE,9926.txt,"the two guardians or, home in this world","yonge, charlotte m. (charlotte mary), 1823-1901",en,7
fiction,SUCCESS,1097.txt,"mrs. warren's profession","shaw, bernard, 1856-1950",en,999
fiction,SUCCESS,1213.txt,"the man that corrupted hadleyburg","twain, mark, 1835-1910",en,202
fiction,SUCCESS,1354.txt,"chronicles of avonlea","montgomery, l. m. (lucy maud), 1874-1942",en,503
fiction,SUCCESS,142.txt,"the 30,000 dollar bequest and other stories","twain, mark, 1835-1910",en,545
fiction,SUCCESS,144.txt,"the voyage out","woolf, virginia, 1882-1941",en,474
fiction,SUCCESS,1840.txt,"the financier, a novel","dreiser, theodore, 1871-1945",en,256
fiction,SUCCESS,1848.txt,"montezuma's daughter","haggard, h. rider (henry rider), 1856-1925",en,178
